epic;feature;effort_level;optimistic_duration;pessimistic_duration;specialities
AI/ML Platform;Define 12 use-case structures with R/P/E priorities;M;3;5;MLE I
AI/ML Platform;Implement AI-assisted vendor discovery POC;L;8;12;MLE II
AI/ML Platform;Integrate LLM-based metadata extraction;L;8;12;MLE I
AI/ML Platform;Implement retrieval-augmented-generation (RAG) pipelines;L;8;15;MLE I
AI/ML Platform;Deploy semantic search;M;3;8;MLE I
AI/ML Platform;Implement Text-to-SQL pipelines;L;8;12;MLE II
AI/ML Platform;Implement scoring logic for all use cases;L;8;15;MLE II
AI/ML Platform;Build foundation for CFO assistant;M;3;8;MLE II
AI/ML Platform;Build foundation for BI dashboards;M;3;5;MLE II,BE
AI/ML Platform;Establish prompt registry with versioning;M;3;5;MLE I,QA
AI/ML Platform;Create evaluation datasets for prompts;M;3;5;MLE I,QA
AI/ML Platform;Enforce guardrails against prompt injection;M;3;5;MLE I,QA,Security
AI/ML Platform;Log prompts and responses;S;1;3;MLE I,BE
AI/ML Platform;Implement experiment tracking;M;3;5;MLE II
AI/ML Platform;Establish back-testing framework;M;3;5;MLE II
AI/ML Platform;Establish baseline for all relevant metrics;M;3;5;MLE II
Integration;Create vendor evaluation templates;S;1;3;MLE II
Integration;Define six-step onboarding workflow;M;3;5;MLE II,BE
Integration;Implement vendor-change triggers;M;3;5;MLE II,BE
Security & Compliance;Enforce multi-factor authentication (MFA);M;3;5;DevOps,Security
Testing & QA;Conduct unit testing;M;3;8;QA,BE,FE
Testing & QA;Conduct integration testing;M;3;8;QA
Testing & QA;Conduct end-to-end testing;L;8;12;QA
Testing & QA;Conduct security testing (OWASP);M;3;5;QA,Security
Testing & QA;Test for prompt injection vulnerabilities;M;3;5;QA,Security
Testing & QA;Develop evaluation datasets;M;3;5;QA,MLE I
Testing & QA;Conduct user-acceptance testing (UAT);M;3;8;QA
Testing & QA;Post-migration smoke tests;S;1;3;QA
Deployment & Operations;Migrate from legacy to Apex AWS account;XL;15;20;DevOps
Deployment & Operations;Conduct performance checks;M;3;5;DevOps,QA
Deployment & Operations;Create contingency planning documentation;S;1;3;DevOps
